taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_species.report,W133-25PVC-2-17_kraken2_bracken_species.report,W132-25PVC-1-17_kraken2_bracken_species.report,W131-25PET-3-17_kraken2_bracken_species.report,W130-25PET-2-17_kraken2_bracken_species.report,W129-25PET-1-17_kraken2_bracken_species.report,W128-25PE0.6-3-17_kraken2_bracken_species.report,W127-25PE0.6-2-17_kraken2_bracken_species.report,W126-25PE0.6-1-17_kraken2_bracken_species.report,W125-25S-3-17_kraken2_bracken_species.report,W124-25S-2-17_kraken2_bracken_species.report,W123-25S-1-17_kraken2_bracken_species.report,Q66-25S-3-0_kraken2_bracken_species.report,Q65-25S-2-0_kraken2_bracken_species.report,Q64-25S-1-0_kraken2_bracken_species.report,Q63-25PVC-3-11_kraken2_bracken_species.report,Q62-25PVC-2-11_kraken2_bracken_species.report,Q61-25PVC-1-11_kraken2_bracken_species.report,Q60-25PET-3-11_kraken2_bracken_species.report,Q59-25PET-2-11_kraken2_bracken_species.report,Q58-25PET-1-11_kraken2_bracken_species.report,Q57-25PE0.6-3-11_kraken2_bracken_species.report,Q56-25PE0.6-2-11_kraken2_bracken_species.report,Q55-25PE0.6-1-11_kraken2_bracken_species.report,Q54-25S-3-11_kraken2_bracken_species.report,Q53-25S-2-11_kraken2_bracken_species.report,Q52-25S-1-11_kraken2_bracken_species.report,Q51-25PVC-3-3_kraken2_bracken_species.report,Q50-25PVC-2-3_kraken2_bracken_species.report,Q49-25PVC-1-3_kraken2_bracken_species.report,Q48-25PET-3-3_kraken2_bracken_species.report,Q47-25PET-2-3_kraken2_bracken_species.report,Q46-25PET-1-3_kraken2_bracken_species.report,Q45-25PE0.6-3-3_kraken2_bracken_species.report,Q44-25PE0.6-2-3_kraken2_bracken_species.report,Q43-25PE0.6-1-3_kraken2_bracken_species.report,Q42-25S-3-3_kraken2_bracken_species.report,Q41-25S-2-3_kraken2_bracken_species.report,Q40-25S-1-3_kraken2_bracken_species.report,Q34-25PE0.1-2-11_kraken2_bracken_species.report,Q33-25PE0.1-1-11_kraken2_bracken_species.report,Q32-25PE0.1-2-3_kraken2_bracken_species.report,Q31-25PE0.1-1-3_kraken2_bracken_species.report
S,2843318,                    Clostridium sp. CF011,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,
S,2843330,                  Elioraea tepida,4.0,6.0,,7.0,16.0,16.0,17.0,16.0,7.0,12.0,,10.0,31.0,27.0,35.0,6.0,,2.0,7.0,7.0,,9.0,3.0,4.0,14.0,3.0,8.0,5.0,3.0,9.0,14.0,4.0,12.0,15.0,9.0,7.0,8.0,11.0,21.0,14.0,3.0,4.0,9.0
G,2843390,              Hattifnattvirus,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,2844287,                Hattifnattvirus hattifnatt,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,2844375,              Reyranellaceae,1146.0,2494.0,1552.0,1009.0,1306.0,1323.0,2510.0,1880.0,1243.0,2211.0,2333.0,2368.0,6541.0,5427.0,5395.0,550.0,396.0,544.0,676.0,562.0,317.0,804.0,532.0,409.0,753.0,894.0,805.0,1802.0,1369.0,2188.0,1170.0,683.0,932.0,1225.0,1097.0,1021.0,1290.0,1317.0,1866.0,635.0,911.0,782.0,1361.0
F,2844403,              Rhodovibrionaceae,8.0,24.0,21.0,16.0,24.0,26.0,45.0,36.0,40.0,19.0,25.0,47.0,68.0,43.0,45.0,8.0,5.0,8.0,14.0,18.0,12.0,26.0,16.0,17.0,14.0,21.0,10.0,22.0,8.0,23.0,27.0,18.0,18.0,33.0,13.0,13.0,24.0,34.0,18.0,20.0,17.0,19.0,23.0
F,2844601,              Stellaceae,44.0,110.0,135.0,93.0,82.0,98.0,150.0,92.0,76.0,113.0,127.0,122.0,287.0,202.0,197.0,33.0,21.0,41.0,61.0,55.0,43.0,66.0,52.0,46.0,56.0,70.0,43.0,56.0,79.0,58.0,65.0,40.0,62.0,65.0,59.0,63.0,96.0,72.0,121.0,52.0,66.0,61.0,119.0
F,2844864,              Thalassobaculaceae,824.0,918.0,937.0,819.0,679.0,753.0,608.0,572.0,589.0,407.0,267.0,323.0,504.0,287.0,453.0,1172.0,1223.0,1189.0,1186.0,943.0,1183.0,1154.0,868.0,940.0,678.0,672.0,835.0,665.0,792.0,699.0,593.0,1091.0,954.0,1086.0,1085.0,835.0,870.0,909.0,786.0,836.0,1058.0,1251.0,857.0
F,2844866,              Thalassospiraceae,27.0,42.0,36.0,,3.0,15.0,3.0,15.0,8.0,61.0,26.0,40.0,44.0,,,7.0,10.0,,28.0,31.0,,,46.0,47.0,8.0,87.0,73.0,7.0,18.0,42.0,5.0,23.0,44.0,31.0,,,,,54.0,43.0,42.0,50.0,69.0
F,2844881,              Zymomonadaceae,16.0,5.0,108.0,16.0,,230.0,22.0,137.0,13.0,,,202.0,,,,141.0,74.0,28.0,,186.0,28.0,32.0,33.0,122.0,27.0,57.0,15.0,62.0,,81.0,32.0,7.0,9.0,,11.0,9.0,,10.0,,6.0,18.0,90.0,117.0
S,2845086,                  Mydovirus KNP2,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,2845253,              Treponemataceae,,,,,,,,,,,,,,20.0,36.0,6.0,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,6.0
G,2845254,                Breznakiella,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
S,2845819,                        Flavobacterium sp. CECT 9288,131.0,93.0,147.0,185.0,169.0,258.0,114.0,166.0,212.0,145.0,62.0,106.0,2672.0,1974.0,2021.0,83.0,297.0,240.0,225.0,228.0,377.0,145.0,54.0,213.0,120.0,115.0,519.0,794.0,1048.0,1225.0,604.0,550.0,605.0,574.0,369.0,225.0,279.0,204.0,506.0,126.0,117.0,570.0,602.0
S,2846038,                  Anchaingvirus anchaing,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,2846306,                  unclassified Yinghuangia,,6.0,15.0,,15.0,19.0,11.0,21.0,20.0,23.0,29.0,11.0,73.0,24.0,43.0,5.0,,,15.0,,12.0,13.0,,13.0,20.0,16.0,10.0,8.0,9.0,13.0,,18.0,12.0,17.0,9.0,,16.0,10.0,17.0,,17.0,10.0,13.0
S,2846399,                  Immanueltrevirus immanuel3,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,2846749,                Pacificitalea,50.0,135.0,,,,,56.0,,,59.0,86.0,89.0,130.0,102.0,,,,,47.0,48.0,45.0,99.0,,,,76.0,78.0,,,,45.0,,,,,,,71.0,129.0,51.0,77.0,167.0,125.0
S,2847045,                  Geoalkalibacter halelectricus,,,,,24.0,,6.0,5.0,13.0,7.0,15.0,,32.0,44.0,12.0,,3.0,,8.0,5.0,,,4.0,,,7.0,18.0,,3.0,,4.0,7.0,,9.0,,10.0,8.0,10.0,,,13.0,,
G1,2847305,                  unclassified Candidatus Thiodiazotropha,,7.0,,,,,,,,,,,21.0,18.0,35.0,,,,,,,,,,,,,4.0,6.0,,,11.0,,8.0,,,,,,6.0,12.0,6.0,13.0
G,2847307,                Thermophilibacter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,11.0,,,,
G,2847312,                Parafannyhessea,,,,,,,,,,,,,,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,2847769,                Aequoribacter,144.0,154.0,168.0,816.0,387.0,247.0,972.0,959.0,906.0,227.0,85.0,106.0,68.0,52.0,,424.0,368.0,452.0,847.0,881.0,756.0,970.0,813.0,1155.0,359.0,356.0,376.0,327.0,359.0,377.0,1290.0,1624.0,1510.0,1443.0,1600.0,981.0,1460.0,994.0,946.0,489.0,502.0,1499.0,1262.0
C,2847774,          Atribacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
O,2847775,            Atribacterales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
F,2847776,              Atribacteraceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
G,2847777,                Atribacter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
S,2847778,                  Atribacter laminatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
S,2847989,                  Geomonas subterranea,,,,,,,27.0,36.0,,,31.0,41.0,90.0,32.0,22.0,,,,,15.0,,,,,19.0,,,19.0,,,,,19.0,21.0,21.0,,20.0,,,,,,22.0
S,2847991,                  Geomonas nitrogeniifigens,,,,,25.0,,,41.0,,,23.0,,,24.0,76.0,,,,,35.0,,,,,43.0,,,21.0,33.0,39.0,18.0,,21.0,,24.0,20.0,45.0,,37.0,,23.0,,
S,2847992,                  Geomonas oryzisoli,,,,37.0,50.0,,50.0,28.0,,27.0,36.0,31.0,105.0,51.0,64.0,,,,35.0,,,,,,22.0,50.0,,,,,45.0,,,24.0,,20.0,,,37.0,,,,27.0
G,2848177,                Pseudocolwellia,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,
G1,2848178,                  unclassified Pseudocolwellia,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,
S,2849093,                      Rhizobium sp. WYJ-E13,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,
S,2849501,                  Nocardioides panacis,125.0,237.0,146.0,196.0,157.0,116.0,226.0,156.0,83.0,202.0,129.0,203.0,382.0,390.0,389.0,127.0,93.0,170.0,153.0,111.0,105.0,174.0,46.0,97.0,127.0,195.0,161.0,382.0,321.0,476.0,272.0,163.0,177.0,174.0,174.0,205.0,160.0,201.0,130.0,115.0,144.0,231.0,238.0
S,2849666,                      Chitinophaga pendula,,,,,,,,,,,,,,,,,,,313.0,,,,,297.0,,320.0,,,,,,,,,,,,,,,,,210.0
S,2849779,                    Aquihabitans sp. G128,1561.0,1583.0,2047.0,4550.0,2536.0,2615.0,2678.0,2654.0,3209.0,3784.0,2962.0,2830.0,6508.0,5240.0,5451.0,2249.0,1711.0,2597.0,4304.0,3670.0,3229.0,4408.0,3429.0,3882.0,4622.0,5031.0,5288.0,2094.0,1785.0,2300.0,2579.0,2204.0,2862.0,2769.0,2381.0,2647.0,3270.0,2864.0,3145.0,4421.0,3984.0,3216.0,2566.0
S,2850559,                    Pseudomonas sp. HS6,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,
S,2851567,                    Modestobacter sp. L9-4,17.0,67.0,37.0,50.0,30.0,52.0,102.0,39.0,65.0,22.0,56.0,,93.0,108.0,49.0,20.0,,20.0,15.0,,,,17.0,,,20.0,34.0,49.0,35.0,80.0,46.0,,,33.0,38.0,27.0,,20.0,53.0,,36.0,,64.0
S,2851598,                    Pseudarthrobacter sp. L1SW,62.0,85.0,118.0,16.0,,19.0,,15.0,,,,,87.0,66.0,94.0,92.0,151.0,106.0,,9.0,,,,,,,11.0,224.0,289.0,279.0,36.0,13.0,21.0,,11.0,11.0,,,,34.0,,21.0,11.0
S,2851646,                  Microbacterium galbinum,6.0,9.0,11.0,5.0,,6.0,7.0,,,,,,28.0,,,16.0,5.0,11.0,,5.0,8.0,6.0,,,,,,30.0,29.0,39.0,12.0,11.0,22.0,39.0,,,16.0,,14.0,5.0,6.0,12.0,15.0
S,2851649,                  Microbacterium sufflavum,,,,5.0,,,,,,,,,,,13.0,,,,,5.0,,,,,,,,4.0,4.0,6.0,,,,,,,,,10.0,,,,
S,2851959,                  Chloracidobacterium aggregatum,2.0,23.0,4.0,47.0,10.0,8.0,23.0,5.0,4.0,6.0,24.0,9.0,123.0,19.0,17.0,2.0,4.0,3.0,3.0,2.0,2.0,8.0,20.0,4.0,5.0,2.0,14.0,5.0,9.0,4.0,11.0,3.0,10.0,6.0,15.0,11.0,8.0,8.0,13.0,25.0,5.0,2.0,9.0
S,2852098,                        Kaistella faecalis,520.0,547.0,553.0,436.0,146.0,109.0,61.0,24.0,16.0,8.0,2.0,4.0,26.0,17.0,19.0,3446.0,3247.0,2699.0,1494.0,904.0,524.0,289.0,129.0,72.0,14.0,31.0,17.0,12892.0,17979.0,9013.0,1894.0,1801.0,829.0,882.0,405.0,222.0,131.0,121.0,81.0,625.0,480.0,3532.0,2310.0
S,2853158,                    Acinetobacter sp. F9,560.0,435.0,520.0,,,,,,,,,,54.0,,,1478.0,1668.0,1469.0,,,,,,,,,,3675.0,4809.0,2989.0,,,,,,,,,,,,,
S,2853163,                    Comamonas sp. NLF-1-9,,36.0,31.0,49.0,129.0,58.0,87.0,128.0,108.0,124.0,225.0,110.0,470.0,264.0,462.0,,,8.0,78.0,46.0,80.0,49.0,49.0,18.0,82.0,47.0,35.0,7.0,18.0,32.0,102.0,82.0,22.0,136.0,,107.0,159.0,139.0,89.0,29.0,42.0,68.0,121.0
S,2853257,                    Comamonas sp. Y33R10-2,,34.0,,,,,,,,,,59.0,55.0,,59.0,6.0,6.0,,,24.0,,,,,,,,93.0,122.0,71.0,24.0,,27.0,28.0,,,,,,,,,
S,2853258,                    Paeniglutamicibacter sp. Y32M11,338.0,372.0,528.0,34.0,13.0,18.0,,20.0,40.0,,44.0,,110.0,91.0,120.0,830.0,645.0,763.0,61.0,7.0,11.0,8.0,17.0,38.0,9.0,,15.0,2193.0,2207.0,1938.0,125.0,31.0,15.0,15.0,,38.0,,9.0,20.0,52.0,48.0,118.0,48.0
G,2853332,                Peteryoungia,27.0,18.0,12.0,,46.0,20.0,,23.0,45.0,37.0,24.0,,43.0,82.0,,21.0,19.0,9.0,34.0,19.0,10.0,21.0,19.0,26.0,,51.0,,31.0,10.0,33.0,,23.0,18.0,14.0,,,25.0,20.0,13.0,27.0,15.0,21.0,37.0
S,2853439,                        Sphingobacterium sp. E70,,,,,15.0,,,,,,,,,,,4.0,5.0,,,26.0,,,,,,,,6.0,4.0,,,7.0,6.0,,,,,,,,,,
S,2854036,                  Nitratireductor rhodophyticola,94.0,124.0,205.0,145.0,433.0,81.0,295.0,155.0,249.0,470.0,194.0,409.0,499.0,218.0,,141.0,137.0,107.0,190.0,249.0,229.0,374.0,194.0,141.0,174.0,90.0,288.0,46.0,37.0,183.0,166.0,206.0,185.0,178.0,194.0,119.0,176.0,118.0,75.0,173.0,202.0,297.0,110.0
F,2854170,              Roseobacteraceae,17260.0,17491.0,16800.0,10424.0,10214.0,10940.0,10913.0,10024.0,10284.0,10491.0,9959.0,8637.0,7822.0,6431.0,6127.0,14330.0,16953.0,14318.0,11209.0,12244.0,10735.0,14266.0,11491.0,10278.0,10875.0,11390.0,13674.0,12615.0,13141.0,12693.0,11553.0,10711.0,9696.0,10951.0,8802.0,8378.0,8668.0,8074.0,6849.0,17738.0,19000.0,16809.0,13922.0
G,2854182,                Falsihalocynthiibacter,,5.0,,,5.0,,,,,5.0,,,,,,,,6.0,,,,,,5.0,,,,,,4.0,,,,,,,4.0,,,,8.0,,
G,2854186,                Pseudosulfitobacter,3016.0,4086.0,3699.0,2814.0,2839.0,2553.0,1852.0,2149.0,2564.0,1790.0,2009.0,1557.0,1001.0,828.0,481.0,3788.0,4272.0,4017.0,2633.0,3515.0,3531.0,4299.0,3700.0,3142.0,3120.0,3291.0,3279.0,2575.0,3132.0,2399.0,2416.0,2688.0,2703.0,2730.0,2508.0,2683.0,2375.0,1802.0,2202.0,4467.0,4999.0,4090.0,3517.0
G1,2854191,                  unclassified Falsihalocynthiibacter,,5.0,,,5.0,,,,,5.0,,,,,,,,6.0,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,
G1,2854199,                  unclassified Pseudosulfitobacter,2104.0,2224.0,2339.0,2141.0,1746.0,1565.0,934.0,1314.0,1384.0,916.0,682.0,412.0,575.0,142.0,356.0,3072.0,3278.0,2837.0,2061.0,2328.0,2863.0,2713.0,2542.0,2144.0,1879.0,2042.0,1777.0,1875.0,2426.0,1815.0,1759.0,2226.0,2203.0,2190.0,1956.0,1999.0,1799.0,1539.0,1869.0,3185.0,3197.0,3000.0,2742.0
S,2854260,                      Porphyrobacter sp. ULC335,2332.0,2237.0,1746.0,387.0,281.0,321.0,1373.0,1183.0,1552.0,1321.0,1062.0,1011.0,319.0,228.0,243.0,2429.0,2689.0,2521.0,1100.0,585.0,680.0,1572.0,1574.0,1621.0,1335.0,1533.0,1512.0,2566.0,2912.0,2558.0,1869.0,2270.0,2002.0,1585.0,1538.0,1268.0,962.0,854.0,907.0,1512.0,1445.0,2060.0,1465.0
S,2854389,                  Bradyrhizobium prioriisuperbiae,7.0,29.0,22.0,8.0,7.0,9.0,27.0,18.0,12.0,9.0,34.0,35.0,53.0,60.0,66.0,13.0,3.0,6.0,9.0,7.0,7.0,7.0,7.0,7.0,10.0,6.0,14.0,17.0,6.0,22.0,18.0,,21.0,18.0,16.0,10.0,15.0,15.0,15.0,9.0,8.0,14.0,10.0
G,2855430,                  Altericista,,6.0,3.0,3.0,14.0,10.0,7.0,8.0,5.0,10.0,5.0,12.0,116.0,130.0,90.0,10.0,,3.0,,5.0,,22.0,12.0,12.0,15.0,5.0,9.0,,14.0,10.0,19.0,9.0,26.0,36.0,19.0,26.0,55.0,37.0,22.0,8.0,11.0,14.0,17.0
S,2855434,                    Pseudomonas sp. AO-1,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,66.0,60.0,46.0,72.0,,,,,,,123.0,,,,,
G1,2855442,                        unclassified Epilithonimonas,,,2.0,,,,,,,,,,,,,4.0,6.0,9.0,,3.0,,,,,,,,55.0,96.0,48.0,6.0,4.0,,,,,,2.0,,,,12.0,8.0
S,2855836,                    Streptomyces sp. WY228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,,,,,,,,,,,,
S,2856180,                Methanoculleus virus L4768,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,2856519,                      Flavobacterium litorale,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,8.0,4.0,2.0,,,5.0,,,,,,,,,,
S,2856522,                          Chryseobacterium sp. D764,,,,,,,,,,,,,,,,169.0,,238.0,,,,,,,,,,274.0,466.0,160.0,,,,,,,,,,,,,
S,2856523,                        Pedobacter sp. D749,126.0,134.0,266.0,32.0,155.0,80.0,52.0,33.0,68.0,35.0,26.0,44.0,20.0,70.0,34.0,227.0,181.0,205.0,40.0,188.0,174.0,110.0,65.0,62.0,65.0,44.0,90.0,627.0,705.0,615.0,431.0,285.0,250.0,188.0,158.0,167.0,154.0,125.0,104.0,80.0,89.0,425.0,406.0
S,2856555,                  Micrococcus porci,,,,,,,,24.0,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,
S,2856608,                    Rickettsiella endosymbiont of Dermanyssus gallinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
S,2856823,                  Gymnodinialimonas ceratoperidinii,8.0,21.0,12.0,20.0,22.0,10.0,19.0,28.0,19.0,,13.0,,13.0,13.0,22.0,18.0,21.0,54.0,13.0,37.0,11.0,12.0,29.0,12.0,8.0,18.0,8.0,20.0,18.0,,7.0,7.0,15.0,16.0,14.0,16.0,,8.0,,16.0,19.0,31.0,24.0
S,2857014,                  Roseibium algicola,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,37.0,,,,,,30.0,,,,,,
S,2857058,                    Mycobacterium sp. SMC-2,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
S,2857059,                    Mycobacterium sp. SMC-4,,,14.0,,,,,,,,,,,,112.0,,,,,,,,,,,,,,25.0,23.0,,,,,,,,,,34.0,,,
S,2857060,                    Mycobacterium sp. SMC-8,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,36.0,,48.0,,,,,,,57.0,,,,,25.0,
G,2857076,                  Anthocerotibacter,,,,,,,,,,,,,3.0,,,,,,,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,
S,2857077,                    Anthocerotibacter panamensis,,,,,,,,,,,,,3.0,,,,,,,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,
F,2858885,                  Mangrovivirgaceae,,,,,,,7.0,,,,,,,,,,,4.0,,,,9.0,5.0,,,,7.0,,,,,,,4.0,,,,,,,6.0,,3.0
G,2858886,                    Mangrovivirga,,,,,,,7.0,,,,,,,,,,,4.0,,,,9.0,5.0,,,,7.0,,,,,,,4.0,,,,,,,6.0,,3.0
S,2859228,                    Paenibacillus sp. R14(2021),3.0,4.0,6.0,,,,,,,,18.0,,,,,,,,,,6.0,12.0,,,,,,,9.0,,,,8.0,,,,,,,4.0,,,
S,2859516,                      Gloeocapsopsis dulcis,,,11.0,,9.0,20.0,,10.0,,12.0,7.0,12.0,13.0,6.0,9.0,,,,6.0,,8.0,,,7.0,,9.0,6.0,,,,8.0,,,,9.0,,10.0,9.0,,,,6.0,
S,2859768,                      Echinicola marina,,,,,,,,,,,,,,,,,,,,121.0,,65.0,108.0,,,,,,,,,,,,,,,,,91.0,,,
G,2860235,                Glacieibacterium,14.0,22.0,10.0,18.0,31.0,38.0,20.0,20.0,13.0,26.0,12.0,8.0,8.0,14.0,15.0,19.0,35.0,20.0,40.0,33.0,24.0,41.0,46.0,34.0,29.0,26.0,32.0,25.0,11.0,13.0,18.0,23.0,21.0,31.0,31.0,14.0,27.0,43.0,17.0,31.0,35.0,47.0,12.0
G1,2860236,                  unclassified Glacieibacterium,14.0,22.0,10.0,18.0,31.0,38.0,20.0,20.0,13.0,26.0,12.0,8.0,8.0,14.0,15.0,19.0,35.0,20.0,40.0,33.0,24.0,41.0,46.0,34.0,29.0,26.0,32.0,25.0,11.0,13.0,18.0,23.0,21.0,31.0,31.0,14.0,27.0,43.0,17.0,31.0,35.0,47.0,12.0
S,2860237,                    Glacieibacterium sp.,14.0,22.0,10.0,18.0,31.0,38.0,20.0,20.0,13.0,26.0,12.0,8.0,8.0,14.0,15.0,19.0,35.0,20.0,40.0,33.0,24.0,41.0,46.0,34.0,29.0,26.0,32.0,25.0,11.0,13.0,18.0,23.0,21.0,31.0,31.0,14.0,27.0,43.0,17.0,31.0,35.0,47.0,12.0
S,2860258,                    Methylococcus sp. Mc7,,,,14.0,,24.0,17.0,28.0,11.0,8.0,14.0,9.0,25.0,25.0,14.0,,,,,11.0,5.0,22.0,,8.0,,14.0,,12.0,,15.0,,,13.0,19.0,5.0,7.0,16.0,27.0,13.0,10.0,11.0,12.0,15.0
S,2860286,                    Achromobacter sp. ES-001,,87.0,,,,87.0,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,
S,2860290,                    Stenotrophomonas sepilia,,,,,,139.0,,,,,,,,,,189.0,151.0,123.0,116.0,,,74.0,73.0,,83.0,,,538.0,268.0,210.0,92.0,,,,,,,,,115.0,,,
G1,2860296,                  unclassified Geomonas,,18.0,19.0,,,30.0,38.0,22.0,,42.0,24.0,27.0,46.0,,48.0,,,,,10.0,,22.0,11.0,,12.0,14.0,,,9.0,17.0,20.0,31.0,,11.0,29.0,,49.0,33.0,13.0,,12.0,17.0,27.0
S,2860336,                  Devosia salina,,66.0,27.0,,,,,,23.0,37.0,24.0,,,,,30.0,,,,,,,,,,,,25.0,,35.0,30.0,,,,,,,24.0,,,,29.0,24.0
G1,2860344,                  unclassified Pedococcus,190.0,220.0,292.0,159.0,105.0,55.0,195.0,226.0,73.0,151.0,127.0,130.0,573.0,402.0,511.0,383.0,278.0,476.0,175.0,86.0,73.0,185.0,114.0,81.0,101.0,86.0,127.0,1471.0,1441.0,1522.0,578.0,369.0,399.0,315.0,292.0,235.0,284.0,244.0,162.0,164.0,227.0,432.0,360.0
S,2861279,                    Arthrobacter sp. PAMC25284,579.0,791.0,778.0,530.0,354.0,408.0,923.0,402.0,287.0,531.0,483.0,428.0,4490.0,3181.0,3200.0,809.0,508.0,790.0,483.0,221.0,184.0,284.0,240.0,130.0,187.0,250.0,213.0,3464.0,3576.0,3379.0,1759.0,399.0,457.0,480.0,321.0,384.0,499.0,349.0,385.0,568.0,521.0,1211.0,1145.0
S,2861281,                    Microbacterium sp. PAMC22086,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,322.0,248.0,,,,,,,,,,,,86.0,
S,2861282,                      Massilia sp. NP310,86.0,49.0,87.0,163.0,180.0,108.0,114.0,,,,,68.0,249.0,236.0,94.0,94.0,178.0,260.0,223.0,301.0,,229.0,186.0,,,,219.0,298.0,414.0,397.0,972.0,1108.0,859.0,930.0,528.0,309.0,148.0,246.0,182.0,186.0,210.0,904.0,252.0
S,2861283,                      Massilia sp. PAMC28688,53.0,102.0,262.0,1355.0,1013.0,777.0,609.0,653.0,624.0,763.0,566.0,898.0,3934.0,3514.0,2725.0,94.0,314.0,1559.0,4138.0,3937.0,3752.0,3092.0,1707.0,1969.0,708.0,975.0,1103.0,465.0,2176.0,4707.0,25251.0,28960.0,23946.0,17214.0,13521.0,10415.0,7361.0,8090.0,5999.0,2010.0,1147.0,24979.0,14637.0
S,2861284,                    Janthinobacterium sp. PAMC25594,,,,,,,,,,,,,,30.0,,11.0,14.0,74.0,,,29.0,,,,,,,392.0,510.0,431.0,194.0,165.0,59.0,105.0,45.0,,30.0,34.0,,,,176.0,91.0
S,2861285,                    Brevundimonas sp. PAMC22021,380.0,266.0,434.0,77.0,180.0,201.0,396.0,415.0,567.0,32.0,198.0,340.0,,24.0,,711.0,680.0,1279.0,257.0,371.0,482.0,1422.0,1656.0,1127.0,769.0,958.0,1667.0,307.0,506.0,471.0,813.0,1031.0,1172.0,1260.0,842.0,945.0,987.0,968.0,1120.0,823.0,521.0,951.0,803.0
S,2861288,                    Cryobacterium sp. PAMC25264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
S,2861750,                    Amycolatopsis sp. TNS106,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,
S,2861765,                        Dyadobacter sp. NIV53,27.0,6.0,10.0,17.0,32.0,28.0,21.0,22.0,12.0,19.0,29.0,15.0,,,,5.0,23.0,,15.0,30.0,34.0,7.0,25.0,22.0,,34.0,,7.0,,7.0,,11.0,18.0,11.0,,,,17.0,7.0,14.0,15.0,11.0,5.0
S,2861782,                  Paraburkholderia edwinii,,5.0,,,10.0,,13.0,12.0,,,14.0,,20.0,,,,,,,,,9.0,,,,,,,3.0,,,,,6.0,10.0,6.0,6.0,10.0,7.0,,,,
S,2861799,                    Pseudomonas sp. Colony2,205.0,114.0,123.0,249.0,191.0,144.0,480.0,116.0,,98.0,,327.0,,,,,87.0,,72.0,71.0,,127.0,,,,73.0,,198.0,118.0,241.0,214.0,,114.0,77.0,,111.0,96.0,,,70.0,,,
G,2862144,                Ruoffia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,
S,2862331,                    Polymorphobacter sp. PAMC 29334,,,9.0,,,5.0,,3.0,10.0,4.0,,,13.0,,,6.0,9.0,7.0,9.0,5.0,11.0,15.0,11.0,4.0,4.0,8.0,,,9.0,,13.0,13.0,17.0,9.0,,7.0,,7.0,12.0,4.0,,12.0,9.0
G,2862451,                  Adhaeretor,6.0,12.0,,8.0,8.0,8.0,15.0,12.0,,11.0,13.0,8.0,32.0,21.0,36.0,,11.0,9.0,7.0,,,14.0,,,10.0,10.0,13.0,,14.0,21.0,,11.0,13.0,12.0,,14.0,10.0,9.0,,6.0,7.0,8.0,9.0
